name,category,price,img_url,url,product_id
Maped Crayons Wax Jumbo 12's,Stationery,3.0,https://mandcdrugstore.com/files/images/thumbs/250031a682a58a89b2c03cbb2156e696.jpg,https://mandcdrugstore.com/products/12843,12843
Huggies little Snuggler Size 2 - 4X29,Babycare,50.25,https://mandcdrugstore.com/files/images/thumbs/7b259cea5b8b0bb29898c67720c67229.jpg,https://mandcdrugstore.com/products/12853,12853
Huggies Natural Care Wipes  Frangrance Free 352ct,Babycare,62.46,https://mandcdrugstore.com/files/images/thumbs/f766f31a030d5248098f52f3c8d69d7f.jpg,https://mandcdrugstore.com/products/12854,12854
Personna Women Twin Blade Shaver 5pk,Toiletries,8.2,https://mandcdrugstore.com/files/images/thumbs/f7c41f72a0f01a1d8c28e577065cd054.jpg,https://mandcdrugstore.com/products/12857,12857
Oil Paint 12 Tubes 12ml,Stationery,15.0,https://mandcdrugstore.com/files/images/thumbs/68570b4eb6a29a41c51f8b95ed93c021.jpg,https://mandcdrugstore.com/products/12861,12861
Campbells Chicken Noodle 14.2oz,Confectionery,8.0,https://mandcdrugstore.com/files/images/thumbs/f2ec13f71800df19446147d5e0679ad4.jpg,https://mandcdrugstore.com/products/12866,12866
Campbells Soup Veg Barly 14.5oz,Confectionery,8.0,https://mandcdrugstore.com/files/images/thumbs/6bfb3f43fd86ac237209903f5b69c234.jpg,https://mandcdrugstore.com/products/12868,12868
Zito Dressing Thousand Island 16oz,Confectionery,9.0,https://mandcdrugstore.com/files/images/thumbs/71a49a2024c9b0b4d7f60736924cde49.jpg,https://mandcdrugstore.com/products/12870,12870
OFF DEEP WOODS INSECT REPELLEN,Household,22.01,https://mandcdrugstore.com/files/images/thumbs/2dd8ff7fa5fd489a92a13acfa9092ddc.jpg,https://mandcdrugstore.com/products/12873,12873
Helix Mathematical Instruments Study Set 9pc,Stationery,12.0,https://mandcdrugstore.com/files/images/thumbs/451d4a24ad6a5e90354760af2f4ffd9b.jpg,https://mandcdrugstore.com/products/12874,12874
Scholar Single Line Exercise Book 80pg Assorted Img,Stationery,1.25,https://mandcdrugstore.com/files/images/thumbs/5b725d01484158148df7479dba63186d.jpg,https://mandcdrugstore.com/products/12875,12875
Maped Mini Stapler Assorted,Stationery,9.5,https://mandcdrugstore.com/files/images/thumbs/fdda56a73050e49ee0a34ee3c100f10b.jpg,https://mandcdrugstore.com/products/12879,12879
Stapler Bos B515 STD Full Strip,Stationery,22.01,https://mandcdrugstore.com/files/images/thumbs/1cb8022372ea04def72e456562d97f51.jpg,https://mandcdrugstore.com/products/12880,12880
Stapler,Stationery,24.0,https://mandcdrugstore.com/files/images/thumbs/7090fd646fa9920fa2dadf17da9db948.jpg,https://mandcdrugstore.com/products/12881,12881
Scholar Notebook 1 Subject,Stationery,4.01,https://mandcdrugstore.com/files/images/thumbs/87c3f6c6748b9a8b5aea6f40a73726ef.jpg,https://mandcdrugstore.com/products/12882,12882
Helix Pencil Eraser 1 count,Stationery,0.5,https://mandcdrugstore.com/files/images/thumbs/d28f963fb6107b19831f7170b46ee4f8.jpg,https://mandcdrugstore.com/products/12886,12886
