name,price,category,ul,img
Blue Waters Cran Water Cranberry 330ML,$1.55,grocery-food,https://www.shopmassystoresslu.com/product/blue-waters-cran-water-2/,https://www.shopmassystoresslu.com/wp-content/uploads/0068978492331.jpg
Grace Corned Beef 340G,$11.25,grocery-food,https://www.shopmassystoresslu.com/product/corned-beef-3/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0005527096110.jpg
Nescafe Classic Coffee 200G,$44.90,grocery-food,https://www.shopmassystoresslu.com/product/nescafe-coffee-instant-classic-4/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/02/0789100031290.jpg
Tenderoni Pre Cut 300G,$3.39,grocery-food,https://www.shopmassystoresslu.com/product/tenderoni-pre-cut-300g/,https://www.shopmassystoresslu.com/wp-content/uploads/0049990100047.jpg
Nescafe Classic Coffee 100G,$22.85,grocery-food,https://www.shopmassystoresslu.com/product/nescafe-coffee-instant-classic-3/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/02/0789100031280.jpg
Paradise Springs Water 1.5L,$2.48,grocery-food,https://www.shopmassystoresslu.com/product/paradise-purified-water-1-5l/,https://www.shopmassystoresslu.com/wp-content/uploads/coming-soon-69.jpg
Dak Pork Luncheon Meat 200G,$6.95,grocery-food,https://www.shopmassystoresslu.com/product/dak-pork-luncheon-meat-200g/,https://www.shopmassystoresslu.com/wp-content/uploads/0577089267212.jpg
Fruta Apple Cherry 1L,$7.99,grocery-food,https://www.shopmassystoresslu.com/product/juice-drink-apple-cherry/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0003361334818.jpg
Orchard Apple Juice 1L,$8.95,grocery-food,https://www.shopmassystoresslu.com/product/orchard-apple-juice-1l/,https://www.shopmassystoresslu.com/wp-content/uploads/0001887114900.jpg
Capri-Sun Orange 200ML,$1.50,grocery-food,https://www.shopmassystoresslu.com/product/capri-sun-orange-single/,https://www.shopmassystoresslu.com/wp-content/uploads/0005527096054.jpg
Del Monte Fresh Cut Whole Kernel Corn 432G,$8.99,grocery-food,https://www.shopmassystoresslu.com/product/corn-whole-kernel-2/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0002400016302.jpg
Fruta Cranberry Raspberry Drink 1L,$7.99,grocery-food,https://www.shopmassystoresslu.com/product/juice-drink-cranberry-raspberry/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0003361334378.jpg
Weetabix Cereal 215G,$10.99,grocery-food,https://www.shopmassystoresslu.com/product/cereal-bfast-wholegrain-12s/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0501002900050jpg.jpg
Hereford Corned Beef 340G,$9.79,grocery-food,https://www.shopmassystoresslu.com/product/hereford-corned-beef-340g/,https://www.shopmassystoresslu.com/wp-content/uploads/0007161590112.jpg
Capri-Sun Apple Drink 200ML,$1.50,grocery-food,https://www.shopmassystoresslu.com/product/capri-sun-apple-single/,https://www.shopmassystoresslu.com/wp-content/uploads/0005527096063.jpg
Caribbean Dream Coconut Milk 50G,$2.59,grocery-food,https://www.shopmassystoresslu.com/product/coconut-milk-powder/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0074965045001-1.jpg
Valrico Cornmeal Fine 340G,$2.52,grocery-food,https://www.shopmassystoresslu.com/product/valrico-corn-meal-fine-340g/,https://www.shopmassystoresslu.com/wp-content/uploads/0003834455340.jpg
Caribbean Dream Unsweetened Inst Ginger Tea 14X (Each),$9.31,grocery-food,https://www.shopmassystoresslu.com/product/tea-instant-ginger-unsweetened-14s/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0074965035155-1.jpg
Nescafe Classic Coffee 2G,$0.59,grocery-food,https://www.shopmassystoresslu.com/product/nescafe-classic-coffee-2g/,https://www.shopmassystoresslu.com/wp-content/uploads/0789100031100.jpg
Carnation Evaporated Low Fat Milk 354ML,$4.15,grocery-food,https://www.shopmassystoresslu.com/product/carnation-evap-lf-milk-354ml/,https://www.shopmassystoresslu.com/wp-content/uploads/0005000034867.jpg
Pinehill Passion Fruit 1L,$8.50,grocery-food,https://www.shopmassystoresslu.com/product/pinehill-passion-fruit-1l/,https://www.shopmassystoresslu.com/wp-content/uploads/0073755102530-1.jpg
Crystal Clear Purified Water 1.6L,$2.55,grocery-food,https://www.shopmassystoresslu.com/product/crystal-clear-water-1-6l/,https://www.shopmassystoresslu.com/wp-content/uploads/coming-soon-53.png
Swiss Miss Dark Chocolate Single 28G,$1.65,grocery-food,https://www.shopmassystoresslu.com/product/dark-chocolate-cocoa-mix/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0007092047528.jpg
People’s Choice Brown Sugar 907G,$1.80,grocery-food,https://www.shopmassystoresslu.com/product/pchoice-brown-sugar-907g/,https://www.shopmassystoresslu.com/wp-content/uploads/coming-soon-51.png
Maggi Shaker All Purpose 200G,$7.10$6.92,grocery-food,https://www.shopmassystoresslu.com/product/maggi-shaker-all-purpose-200g/,https://www.shopmassystoresslu.com/wp-content/uploads/0746012343100.jpg
Omega Uht Milk 1L,$6.99,grocery-food,https://www.shopmassystoresslu.com/product/omega-uht-milk-1l/,https://www.shopmassystoresslu.com/wp-content/uploads/0001887112200.jpg
Pinehill Pineapple Juice Unsweetened 1L,$9.49,grocery-food,https://www.shopmassystoresslu.com/product/pinehill-pineapple-jce-unsw1lt/,https://www.shopmassystoresslu.com/wp-content/uploads/0073755102575.jpg
Baron Green Season 794ML,$16.24,grocery-food,https://www.shopmassystoresslu.com/product/baron-green-seasoning-794ml/,https://www.shopmassystoresslu.com/wp-content/uploads/0073355315328.jpg
Canada Dry Ginger Ale 355ML,$6.55,grocery-food,https://www.shopmassystoresslu.com/product/canada-dry-ginger-ale-355ml/,https://www.shopmassystoresslu.com/wp-content/uploads/0007800000114.jpeg
Icy Orange Soft Drink 500ML,$2.30,grocery-food,https://www.shopmassystoresslu.com/product/icy-orange-500ml/,https://www.shopmassystoresslu.com/wp-content/uploads/0066163501757.jpg
Swiss Econo Pack Ketchup 750ML,$6.10,grocery-food,https://www.shopmassystoresslu.com/product/ketchup-tomato-econopak/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0078107901141-1.jpg
Canada Dry Tonic Water 355ML,$6.55,grocery-food,https://www.shopmassystoresslu.com/product/canada-dry-tonic-water-can/,https://www.shopmassystoresslu.com/wp-content/uploads/0007800000124.jpg
Brunswick Vienna Sausage 141G,$3.00,grocery-food,https://www.shopmassystoresslu.com/product/vienna-sausages-chicken-hotspicy/,https://www.shopmassystoresslu.com/wp-content/uploads/0006661349001.jpg
Dutch Lady Filled Tea & Coffee Milk 410G,$3.25,grocery-food,https://www.shopmassystoresslu.com/product/dutch-lady-fill-mlk-tea-coffee-405g/,https://www.shopmassystoresslu.com/wp-content/uploads/0871620045499.jpg
Del Monte Whole Kernel Corn No Salt 432G,$8.99,grocery-food,https://www.shopmassystoresslu.com/product/corn-whole-kernel-no-salt/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0002400016305.jpg
Waitrose Porridge Oats 1KG,$8.19,grocery-food,https://www.shopmassystoresslu.com/product/wr-porridge-oats-1kg/,https://www.shopmassystoresslu.com/wp-content/uploads/0500016904911.jpg
Nature Valley Pnut Butter Granola Bar (Each),$2.24,grocery-food,https://www.shopmassystoresslu.com/product/nat-vall-granola-bar-pnut-butter-42-gr/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0001600026479.jpg
Tenderoni Mac&Cheese 2-Box Pk 412G,$5.69,grocery-food,https://www.shopmassystoresslu.com/product/tenderoni-maccheese-2-box-pk-412g/,https://www.shopmassystoresslu.com/wp-content/uploads/0063114583047.jpg
Fruta Orange Drink 1L,$7.99,grocery-food,https://www.shopmassystoresslu.com/product/juice-drink-orange-2/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/04/0003361334102.jpg
Winners Chowmeing 300G,$3.50,grocery-food,https://www.shopmassystoresslu.com/product/winners-chowmein-311g/,https://www.shopmassystoresslu.com/wp-content/uploads/coming-soon-70.jpg
People’s Choice White Sugar 907G,$2.20,grocery-food,https://www.shopmassystoresslu.com/product/pchoice-gran-white-sugar-907g/,https://www.shopmassystoresslu.com/wp-content/uploads/coming-soon-43.png
Fruta Fruit Punch 1L,$7.99,grocery-food,https://www.shopmassystoresslu.com/product/juice-drink-fruit-punch-2/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/04/0003361334104.jpg
Motts Apple Juice 1.89L,$24.99,grocery-food,https://www.shopmassystoresslu.com/product/motts-apple-juice-64-oz/,https://www.shopmassystoresslu.com/wp-content/uploads/2021/01/0001480000034-1.jpg
Tulip Chopped Ham 200G,$7.99$6.99,grocery-food,https://www.shopmassystoresslu.com/product/tulip-chopped-ham-200g/,https://www.shopmassystoresslu.com/wp-content/uploads/0576238516072.jpg
Pinehill Fruit Punch 1L,$8.50,grocery-food,https://www.shopmassystoresslu.com/product/pinehill-fruit-punch-1-lt/,https://www.shopmassystoresslu.com/wp-content/uploads/0073755101210.jpg
